2017-03-31 16:17:10,383 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SpringExam:SpringExam:0.0.1-SNAPSHOT @ C:\Users\kosta\Desktop\TESTGIT\Spring\SpringExam\pom.xml.
2017-03-31 16:17:11,110 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springExam02:springExam02:0.0.1-SNAPSHOT @ C:\Users\kosta\Desktop\TESTGIT\Spring\springExam02\pom.xml.
2017-03-31 16:17:11,294 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springExam03:springExam03:0.0.1-SNAPSHOT @ C:\Users\kosta\Desktop\TESTGIT\Spring\springExam03\pom.xml.
2017-03-31 16:17:11,404 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: springExam04:springExam04:0.0.1-SNAPSHOT @ C:\Users\kosta\Desktop\TESTGIT\Spring\springExam04\pom.xml.
2017-03-31 16:17:16,976 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-31 16:17:17,126 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\kosta\Desktop\TESTGIT\Spring\SpringExam\src\main\resources
2017-03-31 16:17:17,128 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-31 16:17:17,178 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\kosta\Desktop\TESTGIT\Spring\SpringExam\src\test\resources
2017-03-31 16:17:23,327 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-31 16:17:23,334 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\kosta\Desktop\TESTGIT\Spring\springExam02\src\main\resources
2017-03-31 16:17:23,336 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
